"","key","gene.x","beta.x","lfsr.x","cell.x","region.x","beta.y","s2","stdev","p","gene.y","region.y","cell.y","lfsr.y","bias","match"
"11598","Caudal_Insula Oligo AC005225.3","AC005225.3",-0.110106284613739,0.0423947367534694,"Oligo","Caudal_Insula",0.470613614243172,0.524062497473398,0.579467791301497,0.271449741789359,"AC005225.3","Caudal_Insula","Oligo",0.684991224066493,"ns","diff"
"11602","Fusiform_Gyrus Chandelier AC005225.3","AC005225.3",-0.10988303655307,0.0432539860800307,"Chandelier","Fusiform_Gyrus",0.43207956988415,1.26189054058824,0.386236602289495,0.327013084249222,"AC005225.3","Fusiform_Gyrus","Chandelier",0.865879697872441,"ns","diff"
"11604","Fusiform_Gyrus L56NP AC005225.3","AC005225.3",-0.114604382776708,0.0280012616338126,"L56NP","Fusiform_Gyrus",0.0231927164741643,0.639746871689594,0.288423618043009,0.920603143653029,"AC005225.3","Fusiform_Gyrus","L56NP",0.99426503623649,"ns","diff"
"11609","Inferior_Lateral_TemporalOccipital Chandelier AC005225.3","AC005225.3",-0.110872744051786,0.0393369756987132,"Chandelier","Inferior_Lateral_TemporalOccipital",0.715398441185708,0.638647282097599,0.435928950448706,0.0492722955806383,"AC005225.3","Inferior_Lateral_TemporalOccipital","Chandelier",0.922875784167464,"ns","diff"
"11613","Inferior_Lateral_TemporalOccipital OPC AC005225.3","AC005225.3",-0.108400460804925,0.0443150837604445,"OPC","Inferior_Lateral_TemporalOccipital",0.131031503490095,0.697168707342191,0.581724377240927,0.789393822405764,"AC005225.3","Inferior_Lateral_TemporalOccipital","OPC",0.901663166036806,"ns","diff"
"11614","Inferior_Lateral_TemporalOccipital SST AC005225.3","AC005225.3",-0.114847548438927,0.0264223294462693,"SST","Inferior_Lateral_TemporalOccipital",0.0869903452868113,0.759016157142215,0.256002681044604,0.699472055428358,"AC005225.3","Inferior_Lateral_TemporalOccipital","SST",0.998585626548749,"ns","diff"
"11622","Intraparietal_sulcus OPC AC005225.3","AC005225.3",-0.113403920073237,0.035093860482409,"OPC","Intraparietal_sulcus",0.000834903794189046,0.678473572119349,0.490360990059976,0.998364920334267,"AC005225.3","Intraparietal_sulcus","OPC",0.999648405114949,"ns","diff"
"11624","Retrosplenial_cortex Chandelier AC005225.3","AC005225.3",-0.11157543901271,0.0379241174295251,"Chandelier","Retrosplenial_cortex",0.450569424846005,0.749780114853541,0.480956100028929,0.289215184744777,"AC005225.3","Retrosplenial_cortex","Chandelier",0.990859953449133,"ns","diff"
"11626","Retrosplenial_cortex L56NP AC005225.3","AC005225.3",-0.116484752647409,0.023491894890607,"L56NP","Retrosplenial_cortex",0.168191406226252,0.950836461744002,0.356798182108551,0.633410039653093,"AC005225.3","Retrosplenial_cortex","L56NP",0.99998248684415,"ns","diff"
"11628","Retrosplenial_cortex OPC AC005225.3","AC005225.3",-0.113689507315026,0.0334291237814411,"OPC","Retrosplenial_cortex",0.0805245093384466,0.870711787832523,0.579224070389407,0.882900806680711,"AC005225.3","Retrosplenial_cortex","OPC",0.999043408998884,"ns","diff"
"11848","Angular_Gyrus L6CT AC005323.2","AC005323.2",-0.312221054787822,0.0192886255818268,"L6CT","Angular_Gyrus",0.244092626046135,1.17158800772676,0.337643994111459,0.51072734705371,"AC005323.2","Angular_Gyrus","L6CT",0.999649455282172,"ns","diff"
"11854","Inferior_Lateral_TemporalOccipital L6CT AC005323.2","AC005323.2",-0.313003166039172,0.0198549897090816,"L6CT","Inferior_Lateral_TemporalOccipital",0.161868621384724,0.910703330835608,0.316775865792297,0.596937633756001,"AC005323.2","Inferior_Lateral_TemporalOccipital","L6CT",0.987649659153368,"ns","diff"
"11911","Fusiform_Gyrus Chandelier AC005332.6","AC005332.6",-0.131472393867617,0.0334756069465039,"Chandelier","Fusiform_Gyrus",0.0364701999923702,0.80799625909249,0.308379650550645,0.896175231342237,"AC005332.6","Fusiform_Gyrus","Chandelier",0.988013534107968,"ns","diff"
"12947","Caudal_Insula Chandelier AC005703.4","AC005703.4",0.140086820110974,0.0321969994013353,"Chandelier","Caudal_Insula",-0.520280510486387,1.11903033334944,0.418358616911377,0.2480152710408,"AC005703.4","Caudal_Insula","Chandelier",0.999453581894303,"ns","diff"
"12950","Caudal_Insula LAMP5 AC005703.4","AC005703.4",0.138767876400797,0.0312479233971827,"LAMP5","Caudal_Insula",-0.229354941737675,0.959914922375974,0.232236707390251,0.322197135214956,"AC005703.4","Caudal_Insula","LAMP5",0.998293258733103,"ns","diff"
"12951","Caudal_Insula PAX6 AC005703.4","AC005703.4",0.141540767735648,0.0218957522450296,"PAX6","Caudal_Insula",-0.0679979060580957,0.783846982873308,0.350573691489867,0.828049545459406,"AC005703.4","Caudal_Insula","PAX6",0.999955711061361,"ns","diff"
"12952","Caudal_Insula SST AC005703.4","AC005703.4",0.144993038489466,0.0191911298251759,"SST","Caudal_Insula",-0.00278731950973787,1.127580181819,0.24421272936031,0.991499072114614,"AC005703.4","Caudal_Insula","SST",0.999299901285246,"ns","diff"
"12956","Fusiform_Gyrus L56NP AC005703.4","AC005703.4",0.137539918225854,0.0321789871559702,"L56NP","Fusiform_Gyrus",-0.133812532858688,0.871805791194885,0.249531773962525,0.570119823556383,"AC005703.4","Fusiform_Gyrus","L56NP",0.933711543762972,"ns","diff"
"12964","Inferior_Lateral_TemporalOccipital ADARB2 AC005703.4","AC005703.4",0.147782661400469,0.0224299606749804,"ADARB2","Inferior_Lateral_TemporalOccipital",-0.082889023716656,1.1655394002822,0.453011141816706,0.866602646058636,"AC005703.4","Inferior_Lateral_TemporalOccipital","ADARB2",0.993870047917229,"ns","diff"
"12970","Inferior_Lateral_TemporalOccipital PAX6 AC005703.4","AC005703.4",0.146962303820562,0.0160136548147584,"PAX6","Inferior_Lateral_TemporalOccipital",-0.0734106534452588,0.773900548478742,0.451244038395276,0.854832710558087,"AC005703.4","Inferior_Lateral_TemporalOccipital","PAX6",0.99647696124661,"ns","diff"
"12973","Intraparietal_sulcus ADARB2 AC005703.4","AC005703.4",0.140379779710008,0.0322187645547937,"ADARB2","Intraparietal_sulcus",-0.409831160599413,1.07748949851467,0.492035711052832,0.429188940694543,"AC005703.4","Intraparietal_sulcus","ADARB2",0.998433259194131,"ns","diff"
"12974","Intraparietal_sulcus Chandelier AC005703.4","AC005703.4",0.143783086930342,0.037436146858695,"Chandelier","Intraparietal_sulcus",-0.090236543617666,1.64134942909461,0.373496208369386,0.851670608254594,"AC005703.4","Intraparietal_sulcus","Chandelier",0.990550302963556,"ns","diff"
"12981","Retrosplenial_cortex Chandelier AC005703.4","AC005703.4",0.142106715584617,0.0343323730518838,"Chandelier","Retrosplenial_cortex",-0.0653095134017425,1.23392648033091,0.527873514430215,0.912170422512056,"AC005703.4","Retrosplenial_cortex","Chandelier",0.998429368085345,"ns","diff"
"12986","Retrosplenial_cortex PAX6 AC005703.4","AC005703.4",0.140965477697895,0.0254100942020061,"PAX6","Retrosplenial_cortex",-0.107153744899348,0.632155981760224,0.495149254779257,0.787857443623087,"AC005703.4","Retrosplenial_cortex","PAX6",0.999512216751611,"ns","diff"
"14527","Fusiform_Gyrus Chandelier AC006262.1","AC006262.1",-0.40306025330715,0.000213458006593892,"Chandelier","Fusiform_Gyrus",0.147711740938585,0.707769055308156,0.371090530544564,0.63942220980517,"AC006262.1","Fusiform_Gyrus","Chandelier",0.949623803119475,"ns","diff"
"15104","Angular_Gyrus L56NP AC006581.2","AC006581.2",0.125381465551254,0.022778023788645,"L56NP","Angular_Gyrus",-0.137221764358939,0.948971825242808,0.266854464499857,0.601698004671595,"AC006581.2","Angular_Gyrus","L56NP",0.996956513580339,"ns","diff"
"15110","Angular_Gyrus OPC AC006581.2","AC006581.2",0.123247796398322,0.0256071269100874,"OPC","Angular_Gyrus",-0.642622102583089,0.743737606909032,0.606862130741013,0.23040919637134,"AC006581.2","Angular_Gyrus","OPC",0.634090323345078,"ns","diff"
"15115","Caudal_Insula ADARB2 AC006581.2","AC006581.2",0.127061076083482,0.0138886110494897,"ADARB2","Caudal_Insula",-0.0532843923824089,1.105191778941,0.304441256204804,0.868850546928429,"AC006581.2","Caudal_Insula","ADARB2",0.999970717431769,"ns","diff"
"15116","Caudal_Insula Chandelier AC006581.2","AC006581.2",0.125691021668542,0.0205164947168762,"Chandelier","Caudal_Insula",-0.0178019900693345,0.720014249285776,0.252827958212201,0.934360288893055,"AC006581.2","Caudal_Insula","Chandelier",0.999988615097673,"ns","diff"
"15119","Caudal_Insula L56NP AC006581.2","AC006581.2",0.125443001343828,0.0216589094509455,"L56NP","Caudal_Insula",-0.0870963073480153,0.90235976822425,0.212846498568906,0.669727281914335,"AC006581.2","Caudal_Insula","L56NP",0.999848754108825,"ns","diff"
"15121","Caudal_Insula L6b AC006581.2","AC006581.2",0.125607479460248,0.0216553768971376,"L6b","Caudal_Insula",-0.0195677405607397,1.01774871911962,0.153498819791923,0.900361252505297,"AC006581.2","Caudal_Insula","L6b",0.999264195843463,"ns","diff"
"15124","Caudal_Insula LAMP5 AC006581.2","AC006581.2",0.125791254114788,0.0200245452169163,"LAMP5","Caudal_Insula",-0.055514132289904,1.19756702827067,0.1515129371996,0.740292750585338,"AC006581.2","Caudal_Insula","LAMP5",0.998293258733103,"ns","diff"
"15131","Fusiform_Gyrus Astro AC006581.2","AC006581.2",0.128074622864408,0.012743336814599,"Astro","Fusiform_Gyrus",-0.282764624848546,0.908306558679905,0.651127639563831,0.651850070074779,"AC006581.2","Fusiform_Gyrus","Astro",0.995164202349957,"ns","diff"
"15132","Fusiform_Gyrus Chandelier AC006581.2","AC006581.2",0.128224223767387,0.0132325889129961,"Chandelier","Fusiform_Gyrus",-0.108191582484877,1.22591919246907,0.246461629416256,0.694467502213844,"AC006581.2","Fusiform_Gyrus","Chandelier",0.958731545910404,"ns","diff"
"15164","Intraparietal_sulcus L56NP AC006581.2","AC006581.2",0.125193334727198,0.0204356667995498,"L56NP","Intraparietal_sulcus",-0.210066145363784,0.937871939059006,0.244919899756214,0.382677425044207,"AC006581.2","Intraparietal_sulcus","L56NP",0.995918997198312,"ns","diff"
"15167","Intraparietal_sulcus L6CT AC006581.2","AC006581.2",0.124587004926357,0.0245135747460571,"L6CT","Intraparietal_sulcus",-0.206891847823318,0.824698559723889,0.198251428877158,0.259549971827245,"AC006581.2","Intraparietal_sulcus","L6CT",0.998790094652956,"ns","diff"
"15170","Intraparietal_sulcus OPC AC006581.2","AC006581.2",0.123971520149989,0.0262705069785614,"OPC","Intraparietal_sulcus",-0.0801170509788469,0.823276567699323,0.47972363386607,0.855250878646307,"AC006581.2","Intraparietal_sulcus","OPC",0.994129227897612,"ns","diff"
"15171","Intraparietal_sulcus PAX6 AC006581.2","AC006581.2",0.125875644825476,0.0167194950459935,"PAX6","Intraparietal_sulcus",-0.00654055145511556,1.17901127479767,0.25906045641674,0.981638767858993,"AC006581.2","Intraparietal_sulcus","PAX6",0.999483332460829,"ns","diff"
"15175","Retrosplenial_cortex ADARB2 AC006581.2","AC006581.2",0.125899269154811,0.0200300225789423,"ADARB2","Retrosplenial_cortex",-0.399940673192272,0.961116901909199,0.396007615345211,0.312327965714462,"AC006581.2","Retrosplenial_cortex","ADARB2",0.999492647473012,"ns","diff"
"15187","Retrosplenial_cortex PAX6 AC006581.2","AC006581.2",0.125898949198165,0.017803889953256,"PAX6","Retrosplenial_cortex",-0.0708843422015706,0.745289102558629,0.278477001305557,0.770696761175194,"AC006581.2","Retrosplenial_cortex","PAX6",0.999512216751611,"ns","diff"
"16137","Angular_Gyrus Micro AC007319.1","AC007319.1",0.599685668391729,0.000812687247803572,"Micro","Angular_Gyrus",-0.0299111010799598,1.60017078679736,0.692847730492646,0.973017288894693,"AC007319.1","Angular_Gyrus","Micro",0.997658064374691,"ns","diff"
"16140","Angular_Gyrus PAX6 AC007319.1","AC007319.1",0.563591447132744,1.68595915934152e-06,"PAX6","Angular_Gyrus",-0.196293906447956,1.75220107492757,0.426695205641077,0.731379463264874,"AC007319.1","Angular_Gyrus","PAX6",0.998082685904311,"ns","diff"
"16165","Fusiform_Gyrus BEC AC007319.1","AC007319.1",0.458782999371009,0.00453353812475633,"BEC","Fusiform_Gyrus",-0.0511179094321879,1.79795052843842,0.344996202867772,0.912698252064812,"AC007319.1","Fusiform_Gyrus","BEC",0.999219391484476,"ns","diff"
"16203","Intraparietal_sulcus BEC AC007319.1","AC007319.1",0.45975221500413,0.00669369047768889,"BEC","Intraparietal_sulcus",-0.566059475789102,4.61831682040352,0.369025930400208,0.480345260875164,"AC007319.1","Intraparietal_sulcus","BEC",0.998685554541824,"ns","diff"
"17779","Angular_Gyrus PAX6 AC007785.1","AC007785.1",0.071357772238111,0.0412127942841112,"PAX6","Angular_Gyrus",-0.0558882586494116,1.09301748593297,0.26622056585889,0.842635594079447,"AC007785.1","Angular_Gyrus","PAX6",0.998082685904311,"ns","diff"
"17784","Caudal_Insula Astro AC007785.1","AC007785.1",-0.293846927001602,0.0342304814449401,"Astro","Caudal_Insula",0.368499205190786,1.13789638743353,0.395662079047783,0.389699932421935,"AC007785.1","Caudal_Insula","Astro",0.835397315172809,"ns","diff"
"17794","Caudal_Insula Oligo AC007785.1","AC007785.1",0.158137777195487,0.0347797464383162,"Oligo","Caudal_Insula",-0.00330786611357592,0.860085843931575,0.384042550015803,0.992655660641681,"AC007785.1","Caudal_Insula","Oligo",0.996149164744362,"ns","diff"
"17819","Inferior_Lateral_TemporalOccipital Chandelier AC007785.1","AC007785.1",0.0791149669768682,0.0401842175907125,"Chandelier","Inferior_Lateral_TemporalOccipital",-0.285673029844641,1.30997561962396,0.179586502186364,0.175310052659597,"AC007785.1","Inferior_Lateral_TemporalOccipital","Chandelier",0.930549762802297,"ns","diff"
"17822","Inferior_Lateral_TemporalOccipital L56NP AC007785.1","AC007785.1",0.0645605291575348,0.0437318231988981,"L56NP","Inferior_Lateral_TemporalOccipital",-0.00550503535791425,1.711145801139,0.119832668249227,0.972219103604637,"AC007785.1","Inferior_Lateral_TemporalOccipital","L56NP",0.997205559328717,"ns","diff"
"17824","Inferior_Lateral_TemporalOccipital L6b AC007785.1","AC007785.1",0.0638851037278291,0.0438358812150072,"L6b","Inferior_Lateral_TemporalOccipital",-0.0287065748763808,1.30908741255697,0.12533020810576,0.842944332741386,"AC007785.1","Inferior_Lateral_TemporalOccipital","L6b",0.999096415184688,"ns","diff"
"17827","Inferior_Lateral_TemporalOccipital LAMP5 AC007785.1","AC007785.1",0.0590575048896436,0.0454632311859546,"LAMP5","Inferior_Lateral_TemporalOccipital",-0.0165002019797447,0.985047962212405,0.109541795320374,0.8804998326327,"AC007785.1","Inferior_Lateral_TemporalOccipital","LAMP5",0.994110016120475,"ns","diff"
"17828","Inferior_Lateral_TemporalOccipital Oligo AC007785.1","AC007785.1",0.184071337252255,0.0345848661981333,"Oligo","Inferior_Lateral_TemporalOccipital",-0.177637079705132,0.777721637410158,0.639861804296939,0.755952281104308,"AC007785.1","Inferior_Lateral_TemporalOccipital","Oligo",0.933764962793282,"ns","diff"
"17852","Retrosplenial_cortex Astro AC007785.1","AC007785.1",-0.20904853635214,0.0336537110396098,"Astro","Retrosplenial_cortex",0.0601012946182999,1.80856110510905,0.474939595690678,0.925781841615711,"AC007785.1","Retrosplenial_cortex","Astro",0.99957904195105,"ns","diff"
"18028","Caudal_Insula L56NP AC007938.3","AC007938.3",-0.103374505453554,0.0430847128718291,"L56NP","Caudal_Insula",0.13664862244674,1.02162241353595,0.2539279405812,0.598374670595258,"AC007938.3","Caudal_Insula","L56NP",0.999848754108825,"ns","diff"
"18046","Fusiform_Gyrus PAX6 AC007938.3","AC007938.3",0.366416463404685,0.000633961523493144,"PAX6","Fusiform_Gyrus",-0.131518846248874,0.750355221448401,0.366810076604303,0.681849737239516,"AC007938.3","Fusiform_Gyrus","PAX6",0.944240122342859,"ns","diff"
"18051","Inferior_Lateral_TemporalOccipital L4IT AC007938.3","AC007938.3",-0.134524791963002,0.0326669861712068,"L4IT","Inferior_Lateral_TemporalOccipital",0.076194561978594,1.03913053770243,0.142955462393363,0.60564227785634,"AC007938.3","Inferior_Lateral_TemporalOccipital","L4IT",0.974026802335329,"ns","diff"
"18053","Inferior_Lateral_TemporalOccipital L5IT AC007938.3","AC007938.3",-0.124471001301081,0.0369873214841887,"L5IT","Inferior_Lateral_TemporalOccipital",0.100357530988314,1.03929214725843,0.140422058800354,0.489650129084706,"AC007938.3","Inferior_Lateral_TemporalOccipital","L5IT",0.9792759294547,"ns","diff"
